[["40c"],0] NaN
[[15,9,3,1,1,1,1],0] 1
[[15,9,3,1,1],0] 1
[[15,9,3],0] 1
[[15,9,2,2,2,1],0] 0
[[15,9,2,1,1,1,1,1],0] 2
[[15,9,2,1,1,1],0] 2
[[15,9,2,1],0] 2
[[15,8,7,5],0] 0
[[15,8,6,5,1],0] 0
[[15,8,5,4,3],0] 0
[[15,8,5,3,1],0] 0
[[15,8,5,2,2,2],0] 0
[[15,8,5,2,1,1],0] 0
[[15,8,5,2],0] 0
[[15,7,6,5,2],0] 0
[[15,7,5,4,1,1],0] 0
[[15,7,5,4],0] 0
[[15,7,5,3,3,1],0] 1
[[15,7,5,3,2],0] 2
[[15,7,5,2,2,1],0] 0
[[15,7,5,1,1,1,1,1],0] 1
[[15,7,5,1,1,1],0] 1
[[15,7,5,1],0] 1
[[15,6,6,5,3],0] 0
[[15,6,5,4,4],0] 0
[[15,6,5,4,1,1,1],0] 0
[[15,6,5,4,1],0] 0
[[15,6,5,3,3],0] 2
[[15,6,5,3,2,1],0] 0
[[15,6,5,2,2,1,1],0] 0
[[15,6,5,2,2],0] 0
[[15,6,5,1,1,1,1],0] 2
[[15,6,5,1,1],0] 2
[[15,6,5],0] 2
[[15,5,5,5,3],0] 1
[[15,5,5,5,2,1],0] 2
[[15,5,4,4,4,2],0] 0
[[15,5,4,4,3,1,1],0] 0
[[15,5,4,4,3],0] 0
[[15,5,4,4,2,1],0] 0
[[15,5,4,3,3,2],0] 0
[[15,5,4,3,2,2,1],0] 0
[[15,5,4,3,1,1,1],0] 0
[[15,5,4,3,1],0] 0
[[15,5,4,2,2,2,1,1],0] 0
[[15,5,4,2,2,2],0] 0
[[15,5,4,2,1,1,1,1],0] 0
[[15,5,4,2,1,1],0] 0
[[15,5,4,2],0] 0
[[15,5,3,3,3,2,2],0] 0
[[15,5,3,3,3,1,1],0] 1
[[15,5,3,3,3],0] 1
[[15,5,3,3,2,1,1,1],0] 2
[[15,5,3,3,2,1],0] 2
[[15,5,3,2,2,2,2],0] 0
[[15,5,3,2,2,1,1,1,1],0] 0
[[15,5,3,2,2,1,1],0] 0
[[15,5,3,2,2],0] 0
[[15,5,3,1,1,1,1,1,1],0] 1
[[15,5,3,1,1,1,1],0] 1
[[15,5,3,1,1],0] 1
[[15,5,3],0] 1
[[15,5,2,2,2,2,2,1],0] 0
[[15,5,2,2,2,1,1,1],0] 0
[[15,5,2,2,2,1],0] 0
[[15,5,2,1,1,1,1,1,1,1],0] 2
[[15,5,2,1,1,1,1,1],0] 2
[[15,5,2,1,1,1],0] 2
[[15,5,2,1],0] 2
[[14,14,4,4],0] 0
[[14,14,4,1],0] 0
[[14,14,3,3],0] 0
[[14,14,3,2,1],0] 0
[[14,14,2,2,1,1],0] 0
[[14,14,2,2],0] 0
[[14,14,1,1,1,1],0] 0
[[14,14,1,1],0] 0
[[14,14],0] 0
[[14,13,7,1],0] 2
[[14,13,6,1,1],0] 0
[[14,13,6],0] 0
[[14,13,4,3,1],0] 0
[[14,13,4,2],0] 0
[[14,13,3,2,2],0] 0
[[14,13,3,1,1],0] 2
[[14,13,3],0] 2
[[14,13,2,2,2,1],0] 0
[[14,13,2,1,1,1],0] 0
[[14,13,2,1],0] 0
[[14,12,11],0] 0
[[14,12,5,3,1],0] 0
[[14,12,5,2],0] 0
[[14,11,9],0] 2
[[14,11,5,4,1],0] 0
[[14,11,5,2,2],0] 0
[[14,11,5,1,1],0] 2
[[14,11,5],0] 2
[[14,10,10,2],0] 0
[[14,10,8,4],0] 0
[[14,10,8,1],0] 0
[[14,10,7,3,1],0] 0
[[14,10,7,2],0] 0
[[14,10,6,6],0] 0
[[14,10,6,3],0] 0
[[14,10,6,2,1],0] 0
[[14,10,5,5],0] 0
[[14,10,4,4,1,1],0] 0
[[14,10,4,4],0] 0
[[14,10,4,3,2],0] 0
[[14,10,4,2,2,1],0] 0
[[14,10,4,1,1,1],0] 0
[[14,10,4,1],0] 0
[[14,10,3,3,2,2],0] 0
[[14,10,3,3,1,1],0] 0
[[14,10,3,3],0] 0
[[14,10,3,2,1,1,1],0] 0
[[14,10,3,2,1],0] 0
[[14,10,2,2,2,2],0] 0
[[14,10,2,2,1,1,1,1],0] 0
[[14,10,2,2,1,1],0] 0
[[14,10,2,2],0] 0
[[14,10,1,1,1,1,1,1],0] 0
[[14,10,1,1,1,1],0] 0
[[14,10,1,1],0] 0
[[14,10],0] 0
[[14,9,9,2],0] 0
[[14,9,7,5],0] 2
[[14,9,6,5,1],0] 0
[[14,9,5,4,3],0] 0
[[14,9,5,3,1],0] 2
[[14,9,5,2,2,2],0] 0
[[14,9,5,2,1,1],0] 0
[[14,9,5,2],0] 0
[[14,8,8,3,1],0] 0
[[14,8,8,2,1,1],0] 0
[[14,8,8,2],0] 0
[[14,8,7,4],0] 0
[[14,8,7,3,2],0] 0
[[14,8,7,2,2,1],0] 0
[[14,8,7,1,1,1],0] 0
[[14,8,7,1],0] 0
[[14,8,6,4,1],0] 0
[[14,8,6,3,3],0] 0
[[14,8,6,3,2,1],0] 0
[[14,8,6,2,2],0] 0
[[14,8,6,1,1,1,1],0] 0
[[14,8,6,1,1],0] 0
[[14,8,6],0] 0
[[14,8,5,5,3],0] 0
[[14,8,4,4,3],0] 0
[[14,8,4,4,2,1],0] 0
[[14,8,4,3,3,2],0] 0
[[14,8,4,3,1,1,1],0] 0
[[14,8,4,3,1],0] 0
[[14,8,4,2,2,2],0] 0
[[14,8,4,2,1,1,1,1],0] 0
[[14,8,4,2,1,1],0] 0
[[14,8,4,2],0] 0
[[14,8,3,3,3,1,1],0] 0
[[14,8,3,3,3],0] 0
[[14,8,3,3,2,1],0] 0
[[14,8,3,2,2,2,2],0] 0
[[14,8,3,2,2,1,1],0] 0
[[14,8,3,2,2],0] 0
[[14,8,3,1,1,1,1,1,1],0] 0
[[14,8,3,1,1,1,1],0] 0
[[14,8,3,1,1],0] 0
[[14,8,3],0] 0
[[14,8,2,2,2,1,1,1],0] 0
[[14,8,2,2,2,1],0] 0
[[14,8,2,1,1,1,1,1],0] 0
[[14,8,2,1,1,1],0] 0
[[14,8,2,1],0] 0
[[14,7,7,7],0] 2
[[14,7,7,6,1],0] 0
[[14,7,7,4,3],0] 0
[[14,7,7,3,1],0] 2
[[14,7,7,2,2,2],0] 0
[[14,7,7,2,1,1],0] 0
[[14,7,7,2],0] 0
[[14,7,6,6],0] 0
[[14,7,6,4,2],0] 0
[[14,7,6,3,2,2],0] 0
[[14,7,6,3,1,1],0] 0
[[14,7,6,3],0] 0
[[14,7,6,2,1,1,1],0] 0
[[14,7,6,2,1],0] 0
[[14,7,5,5,1,1],0] 2
[[14,7,5,5],0] 2
[[14,7,4,4,4,1],0] 0
[[14,7,4,4,2,2],0] 0
[[14,7,4,4,1,1],0] 0
[[14,7,4,4],0] 0
[[14,7,4,3,3,1],0] 0
[[14,7,4,3,2,1,1],0] 0
[[14,7,4,3,2],0] 0
[[14,7,4,2,2,1,1,1],0] 0
[[14,7,4,2,2,1],0] 0
[[14,7,4,1,1,1,1,1],0] 0
[[14,7,4,1,1,1],0] 0
[[14,7,4,1],0] 0
[[14,7,3,3,3,3],0] 2
[[14,7,3,3,3,2,1],0] 0
[[14,7,3,3,2,2],0] 0
[[14,7,3,3,1,1,1,1],0] 2
[[14,7,3,3,1,1],0] 2
[[14,7,3,3],0] 2
[[14,7,3,2,2,2,1],0] 0
[[14,7,3,2,1,1,1,1,1],0] 0
[[14,7,3,2,1,1,1],0] 0
[[14,7,3,2,1],0] 0
[[14,7,2,2,2,2,1,1],0] 0
[[14,7,2,2,2,2],0] 0
[[14,7,2,2,1,1,1,1],0] 0
[[14,7,2,2,1,1],0] 0
[[14,7,2,2],0] 0
[[14,7,1,1,1,1,1,1,1,1],0] 2
[[14,7,1,1,1,1,1,1],0] 2
[[14,7,1,1,1,1],0] 2
[[14,7,1,1],0] 2
[[14,7],0] 2
[[14,6,6,6,1],0] 0
[[14,6,6,4,3],0] 0
[[14,6,6,4,2,1],0] 0
[[14,6,6,3,3,2],0] 0
[[14,6,6,3,1,1,1],0] 0
[[14,6,6,3,1],0] 0
[[14,6,6,2,2,2],0] 0
[[14,6,6,2,1,1,1,1],0] 0
[[14,6,6,2,1,1],0] 0
[[14,6,6,2],0] 0
[[14,6,5,5,4],0] 0
[[14,6,5,5,1,1,1],0] 0
[[14,6,5,5,1],0] 0
[[14,6,4,4,4],0] 0
[[14,6,4,4,3,2],0] 0
[[14,6,4,4,2,2,1],0] 0
[[14,6,4,4,1,1,1],0] 0
[[14,6,4,4,1],0] 0
[[14,6,4,3,3,1,1],0] 0
[[14,6,4,3,3],0] 0
[[14,6,4,3,2,1,1,1],0] 0
[[14,6,4,3,2,1],0] 0
[[14,6,4,2,2,2,2],0] 0
[[14,6,4,2,2,1,1],0] 0
[[14,6,4,2,2],0] 0
[[14,6,4,1,1,1,1,1,1],0] 0
[[14,6,4,1,1,1,1],0] 0
[[14,6,4,1,1],0] 0
[[14,6,4],0] 0
[[14,6,3,3,3,3,1],0] 0
[[14,6,3,3,3,2],0] 0
[[14,6,3,3,2,2,1],0] 0
[[14,6,3,3,1,1,1,1,1],0] 0
[[14,6,3,3,1,1,1],0] 0
[[14,6,3,3,1],0] 0
[[14,6,3,2,2,2,1,1],0] 0
[[14,6,3,2,2,2],0] 0
[[14,6,3,2,1,1,1,1],0] 0
[[14,6,3,2,1,1],0] 0
[[14,6,3,2],0] 0
[[14,6,2,2,2,2,1,1,1],0] 0
[[14,6,2,2,2,2,1],0] 0
[[14,6,2,2,1,1,1,1,1],0] 0
[[14,6,2,2,1,1,1],0] 0
[[14,6,2,2,1],0] 0
[[14,6,1,1,1,1,1,1,1,1,1],0] 0
[[14,6,1,1,1,1,1,1,1],0] 0
[[14,6,1,1,1,1,1],0] 0
[[14,6,1,1,1],0] 0
[[14,6,1],0] 0
[[14,5,5,4,4,2],0] 0
[[14,5,5,4,3,1,1],0] 0
[[14,5,5,4,3],0] 0
[[14,5,5,4,2,1],0] 0
[[14,5,5,3,3,2],0] 0
[[14,5,5,3,2,2,1],0] 0
[[14,5,5,3,1,1,1],0] 2
[[14,5,5,3,1],0] 2
[[14,5,5,2,2,2,1,1],0] 0
[[14,5,5,2,2,2],0] 0
[[14,5,5,2,1,1,1,1],0] 0
[[14,5,5,2,1,1],0] 0
[[14,5,5,2],0] 0
[[14,4,4,4,4,2],0] 0
[[14,4,4,4,3,2,2],0] 0
[[14,4,4,4,3,1,1],0] 0
[[14,4,4,4,3],0] 0
[[14,4,4,4,2,1,1,1],0] 0
[[14,4,4,4,2,1],0] 0
[[14,4,4,3,3,3,1],0] 0
[[14,4,4,3,3,2,1,1],0] 0
[[14,4,4,3,3,2],0] 0
[[14,4,4,3,2,2,1],0] 0
[[14,4,4,3,1,1,1,1,1],0] 0
[[14,4,4,3,1,1,1],0] 0
[[14,4,4,3,1],0] 0
[[14,4,4,2,2,2,2,2],0] 0
[[14,4,4,2,2,2,1,1],0] 0
[[14,4,4,2,2,2],0] 0
[[14,4,4,2,1,1,1,1,1,1],0] 0
[[14,4,4,2,1,1,1,1],0] 0
[[14,4,4,2,1,1],0] 0
[[14,4,4,2],0] 0
[[14,4,3,3,3,3,3],0] 0
[[14,4,3,3,3,2,2],0] 0
[[14,4,3,3,3,1,1,1,1],0] 0
[[14,4,3,3,3,1,1],0] 0
[[14,4,3,3,3],0] 0
[[14,4,3,3,2,2,2,1],0] 0
[[14,4,3,3,2,1,1,1],0] 0
[[14,4,3,3,2,1],0] 0
[[14,4,3,2,2,2,2,1,1],0] 0
[[14,4,3,2,2,2,2],0] 0
[[14,4,3,2,2,1,1,1,1],0] 0
[[14,4,3,2,2,1,1],0] 0
[[14,4,3,2,2],0] 0
[[14,4,3,1,1,1,1,1,1,1,1],0] 0
[[14,4,3,1,1,1,1,1,1],0] 0
[[14,4,3,1,1,1,1],0] 0
[[14,4,3,1,1],0] 0
[[14,4,3],0] 0
[[14,4,2,2,2,2,2,1],0] 0
[[14,4,2,2,2,1,1,1,1,1],0] 0
[[14,4,2,2,2,1,1,1],0] 0
[[14,4,2,2,2,1],0] 0
[[14,4,2,1,1,1,1,1,1,1],0] 0
[[14,4,2,1,1,1,1,1],0] 0
[[14,4,2,1,1,1],0] 0
[[14,4,2,1],0] 0
[[14,3,3,3,3,3,1],0] 2
[[14,3,3,3,3,2,2,2],0] 0
[[14,3,3,3,3,2,1,1],0] 0
[[14,3,3,3,3,2],0] 0
[[14,3,3,3,2,2,1,1,1],0] 0
[[14,3,3,3,2,2,1],0] 0
[[14,3,3,3,1,1,1,1,1],0] 2
[[14,3,3,3,1,1,1],0] 2
[[14,3,3,3,1],0] 2
[[14,3,3,2,2,2,2,2],0] 0
[[14,3,3,2,2,2,1,1,1,1],0] 0
[[14,3,3,2,2,2,1,1],0] 0
[[14,3,3,2,2,2],0] 0
[[14,3,3,2,1,1,1,1,1,1],0] 0
[[14,3,3,2,1,1,1,1],0] 0
[[14,3,3,2,1,1],0] 0
[[14,3,3,2],0] 0
[[14,3,2,2,2,2,2,2,1],0] 0
[[14,3,2,2,2,2,1,1,1],0] 0
[[14,3,2,2,2,2,1],0] 0
[[14,3,2,2,1,1,1,1,1,1,1],0] 0
[[14,3,2,2,1,1,1,1,1],0] 0
[[14,3,2,2,1,1,1],0] 0
[[14,3,2,2,1],0] 0
[[14,3,1,1,1,1,1,1,1,1,1],0] 2
[[14,3,1,1,1,1,1,1,1],0] 2
[[14,3,1,1,1,1,1],0] 2
[[14,3,1,1,1],0] 2
[[14,3,1],0] 2
[[14,2,2,2,2,2,2,2,1,1],0] 0
[[14,2,2,2,2,2,2,2],0] 0
[[14,2,2,2,2,2,1,1,1,1],0] 0
[[14,2,2,2,2,2,1,1],0] 0
[[14,2,2,2,2,2],0] 0
[[14,2,2,2,1,1,1,1,1,1,1,1],0] 0
[[14,2,2,2,1,1,1,1,1,1],0] 0
[[14,2,2,2,1,1,1,1],0] 0
[[14,2,2,2,1,1],0] 0
[[14,2,2,2],0] 0
[[14,2,1,1,1,1,1,1,1,1,1,1],0] 0
[[14,2,1,1,1,1,1,1,1,1],0] 0
[[14,2,1,1,1,1,1,1],0] 0
[[14,2,1,1,1,1],0] 0
[[14,2,1,1],0] 0
[[14,2],0] 0
[[13,13,8,1],0] 0
[[13,13,7,2],0] 2
[[13,13,6,3],0] 2
[[13,13,6,2,1],0] 0
[[13,13,5,5],0] 1
[[13,13,4,4],0] 0
[[13,13,4,3,2],0] 0
[[13,13,4,1,1,1],0] 0
[[13,13,4,1],0] 0
[[13,13,3,3,1,1],0] 1
[[13,13,3,3],0] 1
[[13,13,3,2,1],0] 2
[[13,13,2,2,2,2],0] 0
[[13,13,2,2,1,1],0] 0
[[13,13,2,2],0] 0
[[13,13,1,1,1,1,1,1],0] 1
[[13,13,1,1,1,1],0] 1
[[13,13,1,1],0] 1
[[13,13],0] 1
[[13,12,9,1],0] 0
[[13,12,5,4],0] 0
[[13,12,5,3,2],0] 0
[[13,12,5,1,1,1],0] 0
[[13,12,5,1],0] 0
[[13,11,11,1],0] 1
[[13,11,9,3],0] 1
[[13,11,6,5],0] 2
[[13,11,5,4,2],0] 0
[[13,11,5,3,1,1],0] 1
[[13,11,5,3],0] 1
[[13,11,5,2,1],0] 2
[[13,10,10,1],0] 0
[[13,10,8,3,1],0] 0
[[13,10,8,2],0] 0
[[13,10,7,4],0] 0
[[13,10,7,3,2],0] 0
[[13,10,7,1,1,1],0] 2
[[13,10,7,1],0] 2
[[13,10,6,4,1],0] 0
[[13,10,6,3,3],0] 0
[[13,10,6,2,2],0] 0
[[13,10,6,1,1,1,1],0] 0
[[13,10,6,1,1],0] 0
[[13,10,6],0] 0
[[13,10,4,4,3],0] 0
[[13,10,4,4,2,1],0] 0
[[13,10,4,3,1,1,1],0] 0
[[13,10,4,3,1],0] 0
[[13,10,4,2,2,2],0] 0
[[13,10,4,2,1,1],0] 0
[[13,10,4,2],0] 0
[[13,10,3,3,3],0] 2
[[13,10,3,3,2,1],0] 0
[[13,10,3,2,2,1,1],0] 0
[[13,10,3,2,2],0] 0
[[13,10,3,1,1,1,1],0] 2
[[13,10,3,1,1],0] 2
[[13,10,3],0] 2
[[13,10,2,2,2,1,1,1],0] 0
[[13,10,2,2,2,1],0] 0
[[13,10,2,1,1,1,1,1],0] 0
[[13,10,2,1,1,1],0] 0
[[13,10,2,1],0] 0
[[13,9,9,4],0] 0
[[13,9,9,1,1,1],0] 1
[[13,9,9,1],0] 1
[[13,9,8,5],0] 0
[[13,9,6,5,2],0] 0
[[13,9,5,4,1,1],0] 0
[[13,9,5,4],0] 0
[[13,9,5,3,3,1],0] 1
[[13,9,5,3,2],0] 2
[[13,9,5,2,2,1],0] 0
[[13,9,5,1,1,1,1,1],0] 1
[[13,9,5,1,1,1],0] 1
[[13,9,5,1],0] 1
[[13,8,8,4],0] 0
[[13,8,8,3,2],0] 0
[[13,8,8,2,2,1],0] 0
[[13,8,8,1,1,1],0] 0
[[13,8,8,1],0] 0
[[13,8,7,7],0] 0
[[13,8,7,6,1],0] 0
[[13,8,7,4,3],0] 0
[[13,8,7,3,1],0] 0
[[13,8,7,2,2,2],0] 0
[[13,8,7,2,1,1],0] 0
[[13,8,7,2],0] 0
[[13,8,6,6],0] 0
[[13,8,6,4,2],0] 0
[[13,8,6,3,2,2],0] 0
[[13,8,6,3,1,1],0] 0
[[13,8,6,3],0] 0
[[13,8,6,2,1,1,1],0] 0
[[13,8,6,2,1],0] 0
[[13,8,5,5,1,1],0] 0
[[13,8,5,5],0] 0
[[13,8,4,4,4,1],0] 0
[[13,8,4,4,2,2],0] 0
[[13,8,4,4,1,1],0] 0
[[13,8,4,4],0] 0
[[13,8,4,3,3,1],0] 0
[[13,8,4,3,2,1,1],0] 0
[[13,8,4,3,2],0] 0
[[13,8,4,2,2,1,1,1],0] 0
[[13,8,4,2,2,1],0] 0
[[13,8,4,1,1,1,1,1],0] 0
[[13,8,4,1,1,1],0] 0
[[13,8,4,1],0] 0
[[13,8,3,3,3,3],0] 0
[[13,8,3,3,3,2,1],0] 0
[[13,8,3,3,2,2],0] 0
[[13,8,3,3,1,1,1,1],0] 0
[[13,8,3,3,1,1],0] 0
[[13,8,3,3],0] 0
[[13,8,3,2,2,2,1],0] 0
[[13,8,3,2,1,1,1,1,1],0] 0
[[13,8,3,2,1,1,1],0] 0
[[13,8,3,2,1],0] 0
[[13,8,2,2,2,2,1,1],0] 0
[[13,8,2,2,2,2],0] 0
[[13,8,2,2,1,1,1,1],0] 0
[[13,8,2,2,1,1],0] 0
[[13,8,2,2],0] 0
[[13,8,1,1,1,1,1,1,1,1],0] 0
[[13,8,1,1,1,1,1,1],0] 0
[[13,8,1,1,1,1],0] 0
[[13,8,1,1],0] 0
[[13,8],0] 0
[[13,7,7,6,2],0] 0
[[13,7,7,4,1,1],0] 0
[[13,7,7,4],0] 0
[[13,7,7,3,3,1],0] 1
[[13,7,7,3,2],0] 2
[[13,7,7,2,2,1],0] 0
[[13,7,7,1,1,1,1,1],0] 1
[[13,7,7,1,1,1],0] 1
[[13,7,7,1],0] 1
[[13,7,6,6,3],0] 0
[[13,7,6,4,4],0] 0
[[13,7,6,4,1,1,1],0] 0
[[13,7,6,4,1],0] 0
[[13,7,6,3,3],0] 2
[[13,7,6,3,2,1],0] 0
[[13,7,6,2,2,1,1],0] 0
[[13,7,6,2,2],0] 0
[[13,7,6,1,1,1,1],0] 2
[[13,7,6,1,1],0] 2
[[13,7,6],0] 2
[[13,7,5,5,3],0] 1
[[13,7,5,5,2,1],0] 2
[[13,7,4,4,4,2],0] 0
[[13,7,4,4,3,1,1],0] 0
[[13,7,4,4,3],0] 0
[[13,7,4,4,2,1],0] 0
[[13,7,4,3,3,2],0] 0
[[13,7,4,3,2,2,1],0] 0
[[13,7,4,3,1,1,1],0] 0
[[13,7,4,3,1],0] 0
[[13,7,4,2,2,2,1,1],0] 0
[[13,7,4,2,2,2],0] 0
[[13,7,4,2,1,1,1,1],0] 0
[[13,7,4,2,1,1],0] 0
[[13,7,4,2],0] 0
[[13,7,3,3,3,2,2],0] 0
[[13,7,3,3,3,1,1],0] 1
[[13,7,3,3,3],0] 1
[[13,7,3,3,2,1,1,1],0] 2
[[13,7,3,3,2,1],0] 2
[[13,7,3,2,2,2,2],0] 0
[[13,7,3,2,2,1,1,1,1],0] 0
[[13,7,3,2,2,1,1],0] 0
[[13,7,3,2,2],0] 0
[[13,7,3,1,1,1,1,1,1],0] 1
[[13,7,3,1,1,1,1],0] 1
[[13,7,3,1,1],0] 1
[[13,7,3],0] 1
[[13,7,2,2,2,2,2,1],0] 0
[[13,7,2,2,2,1,1,1],0] 0
[[13,7,2,2,2,1],0] 0
[[13,7,2,1,1,1,1,1,1,1],0] 2
[[13,7,2,1,1,1,1,1],0] 2
[[13,7,2,1,1,1],0] 2
[[13,7,2,1],0] 2
[[13,6,6,6,2],0] 0
[[13,6,6,4,4,1],0] 0
[[13,6,6,4,2,2],0] 0
[[13,6,6,4,1,1],0] 0
[[13,6,6,4],0] 0
[[13,6,6,3,3,1],0] 0
[[13,6,6,3,2,1,1],0] 0
[[13,6,6,3,2],0] 0
[[13,6,6,2,2,1,1,1],0] 0
[[13,6,6,2,2,1],0] 0
[[13,6,6,1,1,1,1,1],0] 0
[[13,6,6,1,1,1],0] 0
[[13,6,6,1],0] 0
[[13,6,5,5,3,1],0] 2
[[13,6,5,5,2,1,1],0] 0
[[13,6,5,5,2],0] 0
[[13,6,4,4,4,3],0] 0
[[13,6,4,4,3,1],0] 0
[[13,6,4,4,2,2,2],0] 0
[[13,6,4,4,2,1,1],0] 0
[[13,6,4,4,2],0] 0
[[13,6,4,3,3,3],0] 0
[[13,6,4,3,3,2,1],0] 0
[[13,6,4,3,2,2,1,1],0] 0
[[13,6,4,3,2,2],0] 0
[[13,6,4,3,1,1,1,1],0] 0
[[13,6,4,3,1,1],0] 0
[[13,6,4,3],0] 0
[[13,6,4,2,2,2,1],0] 0
[[13,6,4,2,1,1,1,1,1],0] 0
[[13,6,4,2,1,1,1],0] 0
[[13,6,4,2,1],0] 0
[[13,6,3,3,3,3,2],0] 0
[[13,6,3,3,3,1,1,1],0] 2
[[13,6,3,3,3,1],0] 2
[[13,6,3,3,2,2,2],0] 0
[[13,6,3,3,2,1,1,1,1],0] 0
[[13,6,3,3,2,1,1],0] 0
[[13,6,3,3,2],0] 0
[[13,6,3,2,2,2,2,1],0] 0
[[13,6,3,2,2,1,1,1],0] 0
[[13,6,3,2,2,1],0] 0
[[13,6,3,1,1,1,1,1,1,1],0] 2
[[13,6,3,1,1,1,1,1],0] 2
[[13,6,3,1,1,1],0] 2
[[13,6,3,1],0] 2
[[13,6,2,2,2,2,2,1,1],0] 0
[[13,6,2,2,2,2,2],0] 0
[[13,6,2,2,2,1,1,1,1],0] 0
[[13,6,2,2,2,1,1],0] 0
[[13,6,2,2,2],0] 0
[[13,6,2,1,1,1,1,1,1,1,1],0] 0
[[13,6,2,1,1,1,1,1,1],0] 0
[[13,6,2,1,1,1,1],0] 0
[[13,6,2,1,1],0] 0
[[13,6,2],0] 0
[[13,5,5,5,5,1],0] 1
[[13,5,5,4,4,1],0] 0
[[13,5,5,4,3,3],0] 0
[[13,5,5,4,3,2,1],0] 0
[[13,5,5,4,2,2],0] 0
[[13,5,5,4,1,1,1,1],0] 0
[[13,5,5,4,1,1],0] 0
[[13,5,5,4],0] 0
[[13,5,5,3,3,1,1,1],0] 1
[[13,5,5,3,3,1],0] 1
[[13,5,5,3,2,2,2],0] 0
[[13,5,5,3,2,1,1],0] 2
[[13,5,5,3,2],0] 2
[[13,5,5,2,2,2,2,1],0] 0
[[13,5,5,2,2,1,1,1],0] 0
[[13,5,5,2,2,1],0] 0
[[13,5,5,1,1,1,1,1,1,1],0] 1
[[13,5,5,1,1,1,1,1],0] 1
[[13,5,5,1,1,1],0] 1
[[13,5,5,1],0] 1
[[13,4,4,4,4,4],0] 0
[[13,4,4,4,4,1,1,1],0] 0
[[13,4,4,4,4,1],0] 0
[[13,4,4,4,3,3],0] 0
[[13,4,4,4,3,2,1],0] 0
[[13,4,4,4,2,2,1,1],0] 0
[[13,4,4,4,2,2],0] 0
[[13,4,4,4,1,1,1,1],0] 0
[[13,4,4,4,1,1],0] 0
[[13,4,4,4],0] 0
[[13,4,4,3,3,3,2],0] 0
[[13,4,4,3,3,2,2,1],0] 0
[[13,4,4,3,3,1,1,1],0] 0
[[13,4,4,3,3,1],0] 0
[[13,4,4,3,2,2,2],0] 0
[[13,4,4,3,2,1,1,1,1],0] 0
[[13,4,4,3,2,1,1],0] 0
[[13,4,4,3,2],0] 0
[[13,4,4,2,2,2,2,1],0] 0
[[13,4,4,2,2,1,1,1,1,1],0] 0
[[13,4,4,2,2,1,1,1],0] 0
[[13,4,4,2,2,1],0] 0
[[13,4,4,1,1,1,1,1,1,1],0] 0
[[13,4,4,1,1,1,1,1],0] 0
[[13,4,4,1,1,1],0] 0
[[13,4,4,1],0] 0
[[13,4,3,3,3,3,1,1],0] 0
[[13,4,3,3,3,3],0] 0
[[13,4,3,3,3,2,1,1,1],0] 0
[[13,4,3,3,3,2,1],0] 0
[[13,4,3,3,2,2,2,2],0] 0
[[13,4,3,3,2,2,1,1],0] 0
[[13,4,3,3,2,2],0] 0
[[13,4,3,3,1,1,1,1,1,1],0] 0
[[13,4,3,3,1,1,1,1],0] 0
[[13,4,3,3,1,1],0] 0
[[13,4,3,3],0] 0
[[13,4,3,2,2,2,2,2,1],0] 0
[[13,4,3,2,2,2,1,1,1],0] 0
[[13,4,3,2,2,2,1],0] 0
[[13,4,3,2,1,1,1,1,1,1,1],0] 0
[[13,4,3,2,1,1,1,1,1],0] 0
[[13,4,3,2,1,1,1],0] 0
[[13,4,3,2,1],0] 0
[[13,4,2,2,2,2,2,2],0] 0
[[13,4,2,2,2,2,1,1,1,1],0] 0
[[13,4,2,2,2,2,1,1],0] 0
[[13,4,2,2,2,2],0] 0
[[13,4,2,2,1,1,1,1,1,1],0] 0
[[13,4,2,2,1,1,1,1],0] 0
[[13,4,2,2,1,1],0] 0
[[13,4,2,2],0] 0
[[13,4,1,1,1,1,1,1,1,1,1,1],0] 0
[[13,4,1,1,1,1,1,1,1,1],0] 0
[[13,4,1,1,1,1,1,1],0] 0
[[13,4,1,1,1,1],0] 0
[[13,4,1,1],0] 0
[[13,4],0] 0
[[13,3,3,3,3,3,3,1],0] 1
[[13,3,3,3,3,3,2],0] 2
[[13,3,3,3,3,2,2,1],0] 0
[[13,3,3,3,3,1,1,1,1,1],0] 1
[[13,3,3,3,3,1,1,1],0] 1
[[13,3,3,3,3,1],0] 1
[[13,3,3,3,2,2,2,1,1],0] 0
[[13,3,3,3,2,2,2],0] 0
[[13,3,3,3,2,1,1,1,1],0] 2
[[13,3,3,3,2,1,1],0] 2
[[13,3,3,3,2],0] 2
[[13,3,3,2,2,2,2,1,1,1],0] 0
[[13,3,3,2,2,2,2,1],0] 0
[[13,3,3,2,2,1,1,1,1,1],0] 0
[[13,3,3,2,2,1,1,1],0] 0
[[13,3,3,2,2,1],0] 0
[[13,3,3,1,1,1,1,1,1,1,1,1],0] 1
[[13,3,3,1,1,1,1,1,1,1],0] 1
[[13,3,3,1,1,1,1,1],0] 1
[[13,3,3,1,1,1],0] 1
[[13,3,3,1],0] 1
[[13,3,2,2,2,2,2,2,2],0] 0
[[13,3,2,2,2,2,2,1,1],0] 0
[[13,3,2,2,2,2,2],0] 0
[[13,3,2,2,2,1,1,1,1,1,1],0] 0
[[13,3,2,2,2,1,1,1,1],0] 0
[[13,3,2,2,2,1,1],0] 0
[[13,3,2,2,2],0] 0
